id_sac,id_cliente,data,comentario
62,9929,2023-11-22,"A entrega atrasou demais, estou muito insatisfeito."
63,1969,2023-03-11,"Péssimo serviço, não voltarei a comprar. Não recomendo."
64,9966,2023-10-29,"Gostei muito, top demais o celular novo."
65,5783,2023-05-31,Tudo ok.
66,3108,2023-11-26,"Gostei muito, top demais o celular novo."
67,4338,2023-09-25,Tudo ok.
68,3216,2023-07-22,"O entregador jogou o pacote por cima do muro, quebrou a tela."
69,3825,2023-06-09,"Péssimo serviço, não voltarei a comprar. Não recomendo."
70,4541,2023-07-26,Tudo ok.
71,3550,2023-11-09,"A entrega atrasou demais, estou muito insatisfeito."
72,2431,2023-02-22,"Produto excelente, chegou antes do prazo!"
73,7589,2023-03-25,Tudo ok.
74,7043,2023-06-10,"O entregador jogou o pacote por cima do muro, quebrou a tela."
75,3051,2023-08-07,"Péssimo serviço, não voltarei a comprar. Não recomendo."
76,6282,2023-06-17,"Achei meio paia, demorou mo cota pra chegar."
77,8319,2023-11-14,Faltou uma peça no meu pedido de móveis. Absurdo!
78,1904,2023-07-28,"O entregador jogou o pacote por cima do muro, quebrou a tela."
79,7191,2023-04-25,"Não comprem, é uma cilada. O suporte não ajuda."
80,3291,2023-01-15,"Produto excelente, chegou antes do prazo!"
81,2718,2023-12-05,"Achei meio paia, demorou mo cota pra chegar."
82,8843,2023-06-13,"Produto excelente, chegou antes do prazo!"
83,4497,2023-02-18,"Tive problema com a transportadora, mas resolveram rápido."
84,1924,2023-04-12,"Tive problema com a transportadora, mas resolveram rápido."
85,6130,2024-01-01,"O entregador jogou o pacote por cima do muro, quebrou a tela."
86,4340,2023-02-22,"O entregador jogou o pacote por cima do muro, quebrou a tela."
87,2659,2023-10-12,"Gostei muito, top demais o celular novo."
88,4665,2023-09-09,"Gostei muito, top demais o celular novo."
89,2902,2023-04-30,"Tive problema com a transportadora, mas resolveram rápido."
90,1684,2023-11-17,"Produto excelente, chegou antes do prazo!"
91,7829,2023-01-12,"Não comprem, é uma cilada. O suporte não ajuda."
92,4309,2023-08-06,"Gostei muito, top demais o celular novo."
93,9378,2023-08-24,"Produto excelente, chegou antes do prazo!"
94,6238,2023-10-06,"Achei meio paia, demorou mo cota pra chegar."
95,4177,2023-06-24,"O entregador jogou o pacote por cima do muro, quebrou a tela."
96,4738,2023-06-15,Tudo ok.
97,4069,2023-07-18,Faltou uma peça no meu pedido de móveis. Absurdo!
98,2112,2023-03-02,"A entrega atrasou demais, estou muito insatisfeito."
99,8439,2023-10-22,"Gostei muito, top demais o celular novo."
100,5051,2023-08-10,"Péssimo serviço, não voltarei a comprar. Não recomendo."
101,1411,2023-04-21,"Achei meio paia, demorou mo cota pra chegar."
102,2926,2023-04-07,"O entregador jogou o pacote por cima do muro, quebrou a tela."
103,3252,2023-09-21,"A entrega atrasou demais, estou muito insatisfeito."
104,7072,2023-09-26,"Péssimo serviço, não voltarei a comprar. Não recomendo."
105,9456,2023-09-27,Tudo ok.
106,5567,2023-05-12,"Péssimo serviço, não voltarei a comprar. Não recomendo."
107,5831,2023-11-28,"A entrega atrasou demais, estou muito insatisfeito."
108,7041,2023-03-19,"A entrega atrasou demais, estou muito insatisfeito."
109,1725,2023-12-24,"Péssimo serviço, não voltarei a comprar. Não recomendo."
110,6625,2023-09-12,"Achei meio paia, demorou mo cota pra chegar."
111,9860,2023-12-23,"O entregador jogou o pacote por cima do muro, quebrou a tela."
112,9199,2023-06-23,"O entregador jogou o pacote por cima do muro, quebrou a tela."
113,2014,2023-10-05,"A entrega atrasou demais, estou muito insatisfeito."
114,3136,2023-05-31,"Não comprem, é uma cilada. O suporte não ajuda."
115,7121,2023-03-13,Faltou uma peça no meu pedido de móveis. Absurdo!
116,7325,2023-03-02,"Gostei muito, top demais o celular novo."
117,2495,2023-04-13,"Gostei muito, top demais o celular novo."
118,5084,2023-02-13,Tudo ok.
119,7238,2023-08-22,"Péssimo serviço, não voltarei a comprar. Não recomendo."
120,1930,2023-04-08,Faltou uma peça no meu pedido de móveis. Absurdo!
121,8556,2023-08-13,Faltou uma peça no meu pedido de móveis. Absurdo!
122,1490,2023-09-30,"Gostei muito, top demais o celular novo."
123,6616,2023-07-12,"Achei meio paia, demorou mo cota pra chegar."
124,5520,2023-06-04,"Achei meio paia, demorou mo cota pra chegar."
125,9759,2023-01-20,"Achei meio paia, demorou mo cota pra chegar."
126,9183,2023-06-20,"Não comprem, é uma cilada. O suporte não ajuda."
127,9169,2023-01-10,"Achei meio paia, demorou mo cota pra chegar."
128,6894,2023-05-02,"Achei meio paia, demorou mo cota pra chegar."
129,9370,2023-05-04,"O entregador jogou o pacote por cima do muro, quebrou a tela."
130,4386,2023-09-09,"O entregador jogou o pacote por cima do muro, quebrou a tela."
131,9099,2023-10-18,"Não comprem, é uma cilada. O suporte não ajuda."
132,8101,2023-03-17,"Não comprem, é uma cilada. O suporte não ajuda."
133,1467,2023-09-13,"Não comprem, é uma cilada. O suporte não ajuda."
134,1072,2023-09-30,"A entrega atrasou demais, estou muito insatisfeito."
135,2302,2023-04-28,"Tive problema com a transportadora, mas resolveram rápido."
136,2227,2023-02-13,"Tive problema com a transportadora, mas resolveram rápido."
137,7666,2023-01-26,"Tive problema com a transportadora, mas resolveram rápido."
138,9959,2023-06-27,"A entrega atrasou demais, estou muito insatisfeito."
139,1246,2023-11-01,"Gostei muito, top demais o celular novo."
140,3154,2023-02-19,Faltou uma peça no meu pedido de móveis. Absurdo!
141,9792,2023-07-11,"Gostei muito, top demais o celular novo."
142,8927,2023-02-25,"Não comprem, é uma cilada. O suporte não ajuda."
143,4336,2023-11-02,"Achei meio paia, demorou mo cota pra chegar."
144,2815,2023-03-12,"Produto excelente, chegou antes do prazo!"
145,8608,2023-04-02,"Gostei muito, top demais o celular novo."
146,4278,2023-12-11,"Não comprem, é uma cilada. O suporte não ajuda."
147,2181,2023-12-17,"Produto excelente, chegou antes do prazo!"
148,8733,2023-05-09,"Não comprem, é uma cilada. O suporte não ajuda."
149,1394,2023-02-26,"O entregador jogou o pacote por cima do muro, quebrou a tela."
150,6226,2023-12-20,"Tive problema com a transportadora, mas resolveram rápido."
